"COMPOUND_ID"|"COMPOUND_NAME"|"FORMULA"|"MASS"|"KNAPSACK_ID"|"NP_ATLAS_ID"|"BIOLOGICAL_ACTIVITY"|"INCHI"|"INCHI_KEY"|"SMILES"
"181106"|"Neoechinulin B"|"C19H19N3O2"|"321.147727"|"C00011285"|"20079"|"N|"InChI=1S/C19H19N3O2/c1-5-19(3,4)16-13(12-8-6-7-9-14(12)21-16)10-15-18(24)20-11(2)17(23)22-15/h5-10,21H,1-2H2,3-4H3,(H,20,24)(H,22,23)/b15-10-"|"GVVVEKSVCAGUTP-GDNBJRDFSA-N"|"CC(C)(C=C)C1=C(C2=CC=CC=C2N1)C=C3C(=O)NC(=C)C(=O)N3"
"181107"|"Novoamauromine"|"C32H36N4O2"|"508.283826"|"N|"11265"|"N|"InChI=1S/C32H36N4O2/c1-7-29(3,4)31-17-23-25(37)36-24(26(38)35(23)27(31)33-21-15-11-9-13-19(21)31)18-32(30(5,6)8-2)20-14-10-12-16-22(20)34-28(32)36/h7-16,23-24,27-28,33-34H,1-2,17-18H2,3-6H3/t23-,24-,27+,28+,31-,32-/m0/s1"|"VKEAHNPKYMHYJJ-CUZDTQNASA-N"|"CC(C)(C=C)C12CC3C(=O)N4C(CC5(C4NC6=CC=CC=C65)C(C)(C)C=C)C(=O)N3C1NC7=CC=CC=C27"
"181108"|"Phenylahistin"|"C20H22N4O2"|"350.174276"|"N|"15627"|"N|"InChI=1S/C20H22N4O2/c1-4-20(2,3)17-14(21-12-22-17)11-16-19(26)23-15(18(25)24-16)10-13-8-6-5-7-9-13/h4-9,11-12,15H,1,10H2,2-3H3,(H,21,22)(H,23,26)(H,24,25)/b16-11-/t15-/m0/s1"|"GWMHBVLPNWHWGW-CNYBTUBUSA-N"|"CC(C)(C=C)C1=C(N=CN1)C=C2C(=O)NC(C(=O)N2)CC3=CC=CC=C3"
"181109"|"5-N-acetyl-15b-didehydroardeemin"|"C28H26N4O3"|"466.200491"|"N|"6390"|"N|"InChI=1S/C28H26N4O3/c1-6-27(4,5)28-15-22-23-29-20-13-9-7-11-18(20)25(35)30(23)16(2)24(34)32(22)26(28)31(17(3)33)21-14-10-8-12-19(21)28/h6-16,26H,1H2,2-5H3/t16-,26+,28-/m1/s1"|"BYWOVWYAIMFWSY-HNWNSCGYSA-N"|"CC1C(=O)N2C3C(C=C2C4=NC5=CC=CC=C5C(=O)N14)(C6=CC=CC=C6N3C(=O)C)C(C)(C)C=C"
"181110"|"5-N-acetylardeemin"|"C28H28N4O3"|"468.216141"|"N|"7954"|"N|"InChI=1S/C28H28N4O3/c1-6-27(4,5)28-15-22-23-29-20-13-9-7-11-18(20)25(35)30(23)16(2)24(34)32(22)26(28)31(17(3)33)21-14-10-8-12-19(21)28/h6-14,16,22,26H,1,15H2,2-5H3/t16-,22+,26+,28-/m1/s1"|"XTLQWSBGQKPGCF-YWDSKPHESA-N"|"CC1C(=O)N2C(CC3(C2N(C4=CC=CC=C43)C(=O)C)C(C)(C)C=C)C5=NC6=CC=CC=C6C(=O)N15"
"181111"|"5-O-methylsclerone"|"C11H12O3"|"192.078644"|"N|"N|"N|"InChI=1S/C11H12O3/c1-14-10-4-2-3-7-8(12)5-6-9(13)11(7)10/h2-4,9,13H,5-6H2,1H3"|"NMKVLUGRERNACB-UHFFFAOYSA-N"|"COC1=CC=CC2=C1C(CCC2=O)O"
"181112"|"6-Deoxyversicolorin A"|"C18H10O6"|"322.047738"|"N|"N|"N|"InChI=1S/C18H10O6/c19-10-3-1-2-7-12(10)16(21)14-9(15(7)20)6-11-13(17(14)22)8-4-5-23-18(8)24-11/h1-6,8,18-19,22H/t8-,18+/m0/s1"|"QLPXJOSOFOPAMO-DCXZOGHSSA-N"|"C1=CC2=C(C(=C1)O)C(=O)C3=C(C4=C(C=C3C2=O)OC5C4C=CO5)O"
"181113"|"Variecolorquinone A"|"C20H18O9"|"402.095082"|"C00048900"|"N|"Cytotoxic;Antineoplastic"|"InChI=1S/C20H18O9/c1-8-3-11-16(18(25)14(8)20(27)29-7-10(23)6-21)19(26)15-12(17(11)24)4-9(22)5-13(15)28-2/h3-5,10,21-23,25H,6-7H2,1-2H3/t10-/m0/s1"|"BFHKLXFIZWDGDV-JTQLQIEISA-N"|"CC1=CC2=C(C(=C1C(=O)OCC(CO)O)O)C(=O)C3=C(C2=O)C=C(C=C3OC)O"
"181114"|"Variecolorquinone B"|"C17H16O6"|"316.094688"|"N|"1902"|"Cytotoxic;Antineoplastic"|"InChI=1S/C17H16O6/c1-9-4-10(15(13(19)5-9)17(21)23-3)6-11-7-12(18)8-14(22-2)16(11)20/h4-5,7-8,19H,6H2,1-3H3"|"CGSNFYSSVZXFAX-UHFFFAOYSA-N"|"CC1=CC(=C(C(=C1)O)C(=O)OC)CC2=CC(=O)C=C(C2=O)OC"
"181115"|"Asperolide A"|"C16H16O5"|"288.099774"|"N|"8295"|"N|"InChI=1S/C16H16O5/c1-15-4-3-11(17)16(2)9-6-12(18)20-7-8(9)5-10(13(15)16)21-14(15)19/h3-6,10-11,13,17H,7H2,1-2H3/t10-,11-,13+,15+,16+/m1/s1"|"JYBNWLHGCZDZAC-VWHJJCLCSA-N"|"CC12C=CC(C3(C1C(C=C4C3=CC(=O)OC4)OC2=O)C)O"
"181116"|"Asperolide B"|"C16H16O5"|"288.099774"|"N|"10744"|"N|"InChI=1S/C16H16O5/c1-15-5-10-13(20-10)16(2)12(15)9(21-14(16)18)3-7-6-19-11(17)4-8(7)15/h3-4,9-10,12-13H,5-6H2,1-2H3/t9-,10+,12-,13+,15-,16-/m1/s1"|"YESVFYJUFXNDLO-AZPXEMHPSA-N"|"CC12CC3C(O3)C4(C1C(C=C5C2=CC(=O)OC5)OC4=O)C"
"181117"|"Aspewentin A"|"C19H26O"|"270.198365"|"N|"9932"|"N|"InChI=1S/C19H26O/c1-5-19(4)10-8-13-14-7-6-9-18(2,3)16(14)11-17(20)15(13)12-19/h5,11,20H,1,6-10,12H2,2-4H3/t19-/m0/s1"|"XEPZBLVFVODCNB-IBGZPJMESA-N"|"CC1(CCCC2=C3CCC(CC3=C(C=C21)O)(C)C=C)C"
"181118"|"Aspewentin B"|"C19H24O2"|"284.17763"|"N|"18578"|"N|"InChI=1S/C19H24O2/c1-5-19(4)10-8-13-12-7-6-9-18(2,3)14(12)11-15(20)16(13)17(19)21/h5,11,20H,1,6-10H2,2-4H3/t19-/m0/s1"|"WENUQQQZXYZRPA-IBGZPJMESA-N"|"CC1(CCCC2=C3CCC(C(=O)C3=C(C=C21)O)(C)C=C)C"
"181119"|"Aspewentin C"|"C19H26O2"|"286.19328"|"N|"11083"|"N|"InChI=1S/C19H26O2/c1-5-18(4)10-7-14-13(12-18)15(20)11-16-17(2,3)8-6-9-19(14,16)21/h5,11,21H,1,6-10,12H2,2-4H3/t18-,19-/m0/s1"|"MMWGIGCGTHYFEV-OALUTQOASA-N"|"CC1(CCCC2(C1=CC(=O)C3=C2CCC(C3)(C)C=C)O)C"
"181120"|"Aspewentin D"|"C19H26O3"|"302.188195"|"N|"21929"|"N|"InChI=1S/C19H26O3/c1-5-17(4)9-10-18(21)13(12-17)14(20)11-15-16(2,3)7-6-8-19(15,18)22/h5,11-12,21-22H,1,6-10H2,2-4H3/t17-,18+,19+/m0/s1"|"KBKYGXGZKGWZIJ-IPMKNSEASA-N"|"CC1(CCCC2(C1=CC(=O)C3=CC(CCC32O)(C)C=C)O)C"
"181121"|"Aspewentin E"|"C19H26O3"|"302.188195"|"N|"21930"|"N|"InChI=1S/C19H26O3/c1-5-18(4)9-6-13-12(11-18)14(20)10-15-17(2,3)8-7-16(21)19(13,15)22/h5,10-11,13,16,21-22H,1,6-9H2,2-4H3/t13-,16+,18-,19-/m0/s1"|"CTJHIWATLDAYJJ-BIGGFVEDSA-N"|"CC1(CCC(C2(C1=CC(=O)C3=CC(CCC32)(C)C=C)O)O)C"
"181122"|"Aspewentin F"|"C19H26O3"|"302.188195"|"N|"21931"|"N|"InChI=1S/C19H26O3/c1-5-18(4)8-6-13-12(11-18)14(20)10-15-17(2,3)16(21)7-9-19(13,15)22/h5,10-11,13,16,21-22H,1,6-9H2,2-4H3/t13-,16+,18-,19-/m0/s1"|"AURMIPBPIOKVRR-BIGGFVEDSA-N"|"CC1(C(CCC2(C1=CC(=O)C3=CC(CCC32)(C)C=C)O)O)C"
"181123"|"Aspewentin G"|"C19H26O3"|"302.188195"|"N|"21932"|"N|"InChI=1S/C19H26O3/c1-5-19(4)9-8-12-11-6-7-15(21)18(2,3)13(11)10-14(20)16(12)17(19)22/h5,10,15,17,20-22H,1,6-9H2,2-4H3/t15-,17-,19+/m1/s1"|"JTSCFAASGVXBPT-SUMDDJOVSA-N"|"CC1(C(CCC2=C3CCC(C(C3=C(C=C21)O)O)(C)C=C)O)C"
"181124"|"Aspewentin H"|"C19H26O3"|"302.188195"|"N|"21933"|"N|"InChI=1S/C19H26O3/c1-5-19(4)9-8-12-11-6-7-15(21)18(2,3)13(11)10-14(20)16(12)17(19)22/h5,10,15,17,20-22H,1,6-9H2,2-4H3/t15-,17+,19+/m1/s1"|"JTSCFAASGVXBPT-AYBZRNKSSA-N"|"CC1(C(CCC2=C3CCC(C(C3=C(C=C21)O)O)(C)C=C)O)C"
"181125"|"Aspirochlorine"|"C12H9ClN2O5S2"|"359.964141"|"C00042248"|"9910"|"Antibacterial;Antiviral;Anticancer;Immunosuppressant"|"InChI=1S/C12H9ClN2O5S2/c1-19-15-10(17)9-14-11(18)12(15)8(21-22-9)4-2-5(13)6(16)3-7(4)20-12/h2-3,8-9,16H,1H3,(H,14,18)/t8-,9-,12-/m0/s1"|"XMFSSFONDVHNFO-AUTRQRHGSA-N"|"CON1C(=O)C2NC(=O)C13C(C4=CC(=C(C=C4O3)O)Cl)SS2"
"181126"|"Astellolide A"|"C26H30O8"|"470.194068"|"C00020327"|"15959"|"N|"InChI=1S/C26H30O8/c1-16(27)32-14-25(3)10-7-11-26(15-33-17(2)28)20-13-31-24(30)19(20)12-21(22(25)26)34-23(29)18-8-5-4-6-9-18/h4-6,8-9,21-22H,7,10-15H2,1-3H3/t21-,22+,25-,26+/m1/s1"|"ISPOIRCRAAHBEV-GETZNYBYSA-N"|"CC(=O)OCC1(CCCC2(C1C(CC3=C2COC3=O)OC(=O)C4=CC=CC=C4)COC(=O)C)C"
"181127"|"Astellolide B"|"C26H30O9"|"486.188983"|"C00020328"|"3010"|"N|"InChI=1S/C26H30O9/c1-15(27)33-13-25(3)9-4-10-26(14-34-16(2)28)20-12-32-24(31)19(20)11-21(22(25)26)35-23(30)17-5-7-18(29)8-6-17/h5-8,21-22,29H,4,9-14H2,1-3H3/t21-,22+,25-,26+/m1/s1"|"GRCAUCWQLNJYKG-GETZNYBYSA-N"|"CC(=O)OCC1(CCCC2(C1C(CC3=C2COC3=O)OC(=O)C4=CC=C(C=C4)O)COC(=O)C)C"
"181129"|"Drimane"|"C15H28"|"208.219101"|"N|"N|"N|"InChI=1S/C15H28/c1-11-7-8-13-14(3,4)9-6-10-15(13,5)12(11)2/h11-13H,6-10H2,1-5H3/t11-,12-,13-,15+/m0/s1"|"CVRSZZJUWRLRDE-PWNZVWSESA-N"|"CC1CCC2C(CCCC2(C1C)C)(C)C"
"181130"|"Echinuline"|"C29H39N3O2"|"461.304228"|"C00011281"|"N|"N|"InChI=1S/C29H39N3O2/c1-9-29(7,8)26-23(16-24-28(34)30-19(6)27(33)31-24)22-15-20(12-10-17(2)3)14-21(25(22)32-26)13-11-18(4)5/h9-11,14-15,19,24,32H,1,12-13,16H2,2-8H3,(H,30,34)(H,31,33)/t19-,24-/m0/s1"|"DIKMWTRJIZQJMY-CYFREDJKSA-N"|"CC1C(=O)NC(C(=O)N1)CC2=C(NC3=C(C=C(C=C23)CC=C(C)C)CC=C(C)C)C(C)(C)C=C"
"181132"|"Nominine"|"C28H39NO"|"405.303165"|"N|"18815"|"N|"InChI=1S/C28H39NO/c1-19(2)9-8-15-28-24(17-22-18-29-25-11-7-6-10-23(22)25)20(3)14-16-27(28,5)21(4)12-13-26(28)30/h6-7,9-11,18,21,24,26,29-30H,3,8,12-17H2,1-2,4-5H3/t21-,24-,26+,27+,28-/m0/s1"|"BSSPRCKKWJRAJZ-HBDSXALQSA-N"|"CC1CCC(C2(C1(CCC(=C)C2CC3=CNC4=CC=CC=C43)C)CCC=C(C)C)O"
"181133"|"Carneamide A"|"C27H31N3O3"|"445.236542"|"N|"20139"|"N|"InChI=1S/C27H31N3O3/c1-7-25(2,3)22-18(15-27(6)24(32)30-12-8-9-20(30)23(31)29-27)17-13-16-10-11-26(4,5)33-21(16)14-19(17)28-22/h7,9-11,13-14,28H,1,8,12,15H2,2-6H3,(H,29,31)/t27-/m0/s1"|"XEVUOUYSDCDRMH-MHZLTWQESA-N"|"CC1(C=CC2=CC3=C(C=C2O1)NC(=C3CC4(C(=O)N5CCC=C5C(=O)N4)C)C(C)(C)C=C)C"
"181134"|"Carneamide B"|"C27H29N3O3"|"443.220892"|"N|"11094"|"N|"InChI=1S/C27H29N3O3/c1-25(2)10-12-30-23(31)20-7-6-11-29(20)24(32)27(30,5)15-18-17-13-16-8-9-26(3,4)33-21(16)14-19(17)28-22(18)25/h7-10,12-14,28H,6,11,15H2,1-5H3/b12-10-/t27-/m0/s1"|"OOKYVFOLITUCQV-PBQNMRGSSA-N"|"CC1(C=CN2C(=O)C3=CCCN3C(=O)C2(CC4=C1NC5=C4C=C6C=CC(OC6=C5)(C)C)C)C"
"181135"|"Carneamide C"|"C27H31N3O3"|"445.236542"|"N|"5144"|"N|"InChI=1S/C27H31N3O3/c1-25(2)10-12-30-23(31)20-7-6-11-29(20)24(32)27(30,5)15-18-17-13-16-8-9-26(3,4)33-21(16)14-19(17)28-22(18)25/h8-10,12-14,20,28H,6-7,11,15H2,1-5H3/b12-10-/t20-,27-/m0/s1"|"ZWBYURXCFGRPSW-REHBSDLXSA-N"|"CC1(C=CN2C(=O)C3CCCN3C(=O)C2(CC4=C1NC5=C4C=C6C=CC(OC6=C5)(C)C)C)C"
"181137"|"Campyrone A"|"C13H19NO4"|"253.131408"|"N|"915"|"N|"InChI=1S/C13H19NO4/c1-5-8(2)13(14-9(3)15)11-6-10(17-4)7-12(16)18-11/h6-8,13H,5H2,1-4H3,(H,14,15)/t8-,13-/m0/s1"|"LFXMHSJWYXKODM-SDBXPKJASA-N"|"CCC(C)C(C1=CC(=CC(=O)O1)OC)NC(=O)C"
"181138"|"Campyrone C"|"C12H17NO4"|"239.115758"|"N|"5614"|"N|"InChI=1S/C12H17NO4/c1-7(2)12(13-8(3)14)10-5-9(16-4)6-11(15)17-10/h5-7,12H,1-4H3,(H,13,14)/t12-/m0/s1"|"WCMUUYZSUQJWRX-LBPRGKRZSA-N"|"CC(C)C(C1=CC(=CC(=O)O1)OC)NC(=O)C"
"181139"|"Carbonarone A"|"C13H11NO3"|"229.073893"|"N|"15651"|"Cytotoxic;Antineoplastic"|"InChI=1S/C13H11NO3/c14-13(16)11-8-17-10(7-12(11)15)6-9-4-2-1-3-5-9/h1-5,7-8H,6H2,(H2,14,16)"|"RQWMGMIZGOCPMP-UHFFFAOYSA-N"|"C1=CC=C(C=C1)CC2=CC(=O)C(=CO2)C(=O)N"
"181140"|"Carbonarone B"|"C13H11NO3"|"229.073893"|"N|"293"|"N|"InChI=1S/C13H11NO3/c15-8-11-12(16)7-10(14-13(11)17)6-9-4-2-1-3-5-9/h1-5,7-8H,6H2,(H2,14,16,17)"|"OFDKPWCCYRMWNM-UHFFFAOYSA-N"|"C1=CC=C(C=C1)CC2=CC(=C(C(=O)N2)C=O)O"
"181141"|"Chevalone B"|"C28H40O5"|"456.287574"|"N|"N|"N|"InChI=1S/C28H40O5/c1-16-14-19-18(24(30)31-16)15-22-27(6)11-8-20-25(3,4)23(32-17(2)29)10-12-26(20,5)21(27)9-13-28(22,7)33-19/h14,20-23H,8-13,15H2,1-7H3/t20-,21+,22-,23-,26-,27+,28-/m0/s1"|"IRSLQXSSQAASGV-GPTGPEQGSA-N"|"CC1=CC2=C(CC3C4(CCC5C(C(CCC5(C4CCC3(O2)C)C)OC(=O)C)(C)C)C)C(=O)O1"
"181142"|"Chevalone C"|"C28H40O5"|"456.287574"|"N|"N|"N|"InChI=1S/C28H40O5/c1-16-14-19(30)18-15-22-27(6)11-8-20-25(3,4)23(32-17(2)29)10-12-26(20,5)21(27)9-13-28(22,7)33-24(18)31-16/h14,20-23H,8-13,15H2,1-7H3/t20-,21+,22-,23-,26-,27+,28-/m0/s1"|"ASOIHOGDYISNRH-GPTGPEQGSA-N"|"CC1=CC(=O)C2=C(O1)OC3(CCC4C5(CCC(C(C5CCC4(C3C2)C)(C)C)OC(=O)C)C)C"
"181143"|"Chevalone E"|"C26H38O4"|"414.27701"|"N|"16726"|"N|"InChI=1S/C26H38O4/c1-15-13-17(27)16-14-20-25(5)10-7-18-23(2,3)21(28)9-11-24(18,4)19(25)8-12-26(20,6)30-22(16)29-15/h13,18-21,28H,7-12,14H2,1-6H3"|"PSHUZQHBLAPAMD-UHFFFAOYSA-N"|"CC1=CC(=O)C2=C(O1)OC3(CCC4C5(CCC(C(C5CCC4(C3C2)C)(C)C)O)C)C"
"181144"|"Deoxyaverufinone"|"C20H16O7"|"368.089603"|"N|"N|"N|"InChI=1S/C20H16O7/c1-8(21)4-10-2-3-11-15(27-10)7-13-17(19(11)25)20(26)16-12(18(13)24)5-9(22)6-14(16)23/h5-7,10,22-23,25H,2-4H2,1H3"|"XFHCNAAMEPZFMR-UHFFFAOYSA-N"|"CC(=O)CC1CCC2=C(O1)C=C3C(=C2O)C(=O)C4=C(C3=O)C=C(C=C4O)O"
"181145"|"Fonsecinone C"|"C32H28O11"|"588.163162"|"N|"N|"Antibacterial"|"InChI=1S/C32H28O11/c1-13-7-17(33)25-18(34)8-14-9-20(39-4)27(29(41-6)22(14)30(25)42-13)24-16-10-15(38-3)11-21(40-5)23(16)28(36)26-19(35)12-32(2,37)43-31(24)26/h7-11,34,36-37H,12H2,1-6H3"|"XWHLKURAEUPHAB-UHFFFAOYSA-N"|"CC1=CC(=O)C2=C(C=C3C=C(C(=C(C3=C2O1)OC)C4=C5C(=C(C6=C4C=C(C=C6OC)OC)O)C(=O)CC(O5)(C)O)OC)O"
"181146"|"Nigerapyrone A"|"C20H18O3"|"306.125594"|"N|"13207"|"N|"InChI=1S/C20H18O3/c1-13-9-14(2)20(15-7-5-4-6-8-15)17(10-13)18-11-16(22-3)12-19(21)23-18/h4-12H,1-3H3"|"PKGPVVFVJPDDHE-UHFFFAOYSA-N"|"CC1=CC(=C(C(=C1)C2=CC(=CC(=O)O2)OC)C3=CC=CC=C3)C"
"181147"|"Nigerapyrone B"|"C21H20O3"|"320.141245"|"N|"8282"|"Cytotoxic"|"InChI=1S/C21H20O3/c1-13-10-14(2)20(16-8-6-5-7-9-16)17(11-13)19-12-18(23-4)15(3)21(22)24-19/h5-12H,1-4H3"|"GORRUIALEVAHBX-UHFFFAOYSA-N"|"CC1=CC(=C(C(=C1)C2=CC(=C(C(=O)O2)C)OC)C3=CC=CC=C3)C"
"181148"|"Nigerapyrone C"|"C13H14O4"|"234.089209"|"N|"493"|"N|"InChI=1S/C13H14O4/c1-9(6-10(2)14)4-5-11-7-12(16-3)8-13(15)17-11/h4-8H,1-3H3/b5-4+,9-6+"|"LGJCELWOOPXKFE-HSKKLARCSA-N"|"CC(=CC(=O)C)C=CC1=CC(=CC(=O)O1)OC"
"181149"|"Nigerapyrone D"|"C14H16O4"|"248.104859"|"N|"15983"|"N|"InChI=1S/C14H16O4/c1-9(7-10(2)15)5-6-12-8-13(17-4)11(3)14(16)18-12/h5-8H,1-4H3/b6-5+,9-7+"|"QNRKTRKCMAQCAK-SBIWHPGTSA-N"|"CC1=C(C=C(OC1=O)C=CC(=CC(=O)C)C)OC"
"181150"|"Nigerapyrone E"|"C11H12O4"|"208.073559"|"N|"6103"|"Cytotoxic"|"InChI=1S/C11H12O4/c1-7(12)4-5-9-6-10(14-3)8(2)11(13)15-9/h4-6H,1-3H3/b5-4+"|"ZYAUSSMPHVTIRL-SNAWJCMRSA-N"|"CC1=C(C=C(OC1=O)C=CC(=O)C)OC"
"181151"|"Nigerapyrone F"|"C20H20O3"|"308.141245"|"N|"11379"|"N|"InChI=1S/C20H20O3/c1-15(11-16(2)12-17-7-5-4-6-8-17)9-10-18-13-19(22-3)14-20(21)23-18/h4-14H,1-3H3/b10-9+,15-11+,16-12-"|"NLLRTVRDMOKHDF-CUEQUERMSA-N"|"CC(=CC(=CC1=CC=CC=C1)C)C=CC2=CC(=CC(=O)O2)OC"
"181152"|"Nigerapyrone G"|"C20H20O3"|"308.141245"|"N|"20007"|"N|"InChI=1S/C20H20O3/c1-15(11-16(2)12-17-7-5-4-6-8-17)9-10-18-13-19(22-3)14-20(21)23-18/h4-14H,1-3H3/b10-9+,15-11-,16-12+"|"NLLRTVRDMOKHDF-BFEOMNOJSA-N"|"CC(=CC(=CC1=CC=CC=C1)C)C=CC2=CC(=CC(=O)O2)OC"
"181153"|"Nigerapyrone H"|"C20H20O3"|"308.141245"|"N|"375"|"N|"InChI=1S/C20H20O3/c1-15(11-16(2)12-17-7-5-4-6-8-17)9-10-18-13-19(22-3)14-20(21)23-18/h4-14H,1-3H3/b10-9-,15-11+,16-12+"|"NLLRTVRDMOKHDF-BKSOJIHSSA-N"|"CC(=CC(=CC1=CC=CC=C1)C)C=CC2=CC(=CC(=O)O2)OC"
"181154"|"Pyranonigrin A"|"C10H9NO5"|"223.048072"|"C00040123"|"12801"|"Antioxidant"|"InChI=1S/C10H9NO5/c1-2-3-4-6(12)7(13)5-8(16-4)10(15)11-9(5)14/h2-3,10,12,15H,1H3,(H,11,14)/b3-2+/t10-/m1/s1"|"OALBJWDVDNROSF-VMZHVLLKSA-N"|"CC=CC1=C(C(=O)C2=C(O1)C(NC2=O)O)O"
"181155"|"Pyrophen"|"C16H17NO4"|"287.115758"|"C00046868"|"6435"|"N|"InChI=1S/C16H17NO4/c1-11(18)17-14(8-12-6-4-3-5-7-12)15-9-13(20-2)10-16(19)21-15/h3-7,9-10,14H,8H2,1-2H3,(H,17,18)/t14-/m0/s1"|"VFMQMACUYWGDOJ-AWEZNQCLSA-N"|"CC(=O)NC(CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC"
"181156"|"Similanpyrone C"|"C19H20O6"|"344.125988"|"N|"11747"|"N|"InChI=1S/C19H20O6/c1-9-4-14-15(25-19(9)8-13(20)6-11(3)24-19)7-12-5-10(2)23-18(22)16(12)17(14)21/h5,7,9,11,21H,4,6,8H2,1-3H3/t9-,11+,19-/m0/s1"|"FPONKDFKTFKMKI-NWJBQHJCSA-N"|"CC1CC2=C(C=C3C=C(OC(=O)C3=C2O)C)OC14CC(=O)CC(O4)C"
"181157"|"Sydowic acid"|"C15H20O4"|"264.136159"|"N|"17547"|"N|"InChI=1S/C15H20O4/c1-14(2)7-4-8-15(3,19-14)11-6-5-10(13(17)18)9-12(11)16/h5-6,9,16H,4,7-8H2,1-3H3,(H,17,18)"|"PPKSRWBBMMEDGG-UHFFFAOYSA-N"|"CC1(CCCC(O1)(C)C2=C(C=C(C=C2)C(=O)O)O)C"
"181158"|"11-O-methylpseurotin A"|"C23H27NO8"|"445.173667"|"N|"13127"|"N|"InChI=1S/C23H27NO8/c1-5-6-12-15(30-3)16(25)17-13(2)18(26)22(32-17)20(28)23(31-4,24-21(22)29)19(27)14-10-8-7-9-11-14/h6-12,15-16,20,25,28H,5H2,1-4H3,(H,24,29)/b12-6-/t15-,16-,20+,22+,23+/m0/s1"|"BSXLPZRKEPWAAT-CHZVKGAWSA-N"|"CCC=CC(C(C1=C(C(=O)C2(O1)C(C(NC2=O)(C(=O)C3=CC=CC=C3)OC)O)C)O)OC"
"181159"|"Pseurotin"|"C22H25NO8"|"431.15802"|"C00045032"|"N|"N|"InChI=1S/C22H25NO8/c1-4-5-11-14(24)15(25)16-12(2)17(26)21(31-16)19(28)22(30-3,23-20(21)29)18(27)13-9-7-6-8-10-13/h5-11,14-15,19,24-25,28H,4H2,1-3H3,(H,23,29)/b11-5-/t14-,15-,19+,21+,22+/m0/s1"|"SLYDIPAXCVVRNY-UOWMTANKSA-N"|"CCC=CC(C(C1=C(C(=O)C2(O1)C(C(NC2=O)(C(=O)C3=CC=CC=C3)OC)O)C)O)O"
"181160"|"4,7-dimethoxy-5-methylcoumarin"|"C12H12O4"|"220.073559"|"N|"N|"N|"InChI=1S/C12H12O4/c1-7-4-8(14-2)5-10-12(7)9(15-3)6-11(13)16-10/h4-6H,1-3H3"|"LLTOPKQGFAAMKH-UHFFFAOYSA-N"|"CC1=CC(=CC2=C1C(=CC(=O)O2)OC)OC"
"181161"|"5,6-Dimethoxydihydrosterigmatocystin"|"C20H18O8"|"386.100168"|"N|"N|"N|"InChI=1S/C20H18O8/c1-23-10-7-11-13(8-4-5-26-20(8)27-11)18-15(10)16(22)14-9(21)6-12(24-2)17(25-3)19(14)28-18/h6-8,20-21H,4-5H2,1-3H3"|"UXANCUHUYCACQV-UHFFFAOYSA-N"|"COC1=C(C2=C(C(=C1)O)C(=O)C3=C(C=C4C(=C3O2)C5CCOC5O4)OC)OC"
"181162"|"Cladosporin"|"C16H20O5"|"292.131074"|"N|"N|"N|"InChI=1S/C16H20O5/c1-9-3-2-4-12(20-9)8-13-6-10-5-11(17)7-14(18)15(10)16(19)21-13/h5,7,9,12-13,17-18H,2-4,6,8H2,1H3/t9-,12+,13+/m0/s1"|"WOMKDMUZNBFXKG-ZWKOPEQDSA-N"|"CC1CCCC(O1)CC2CC3=C(C(=CC(=C3)O)O)C(=O)O2"
"181163"|"Coniochaetone A"|"C13H10O4"|"230.057909"|"N|"N|"N|"InChI=1S/C13H10O4/c1-6-4-8(15)12-10(5-6)17-9-3-2-7(14)11(9)13(12)16/h4-5,15H,2-3H2,1H3"|"TWADCDOVRHDLAF-UHFFFAOYSA-N"|"CC1=CC(=C2C(=C1)OC3=C(C2=O)C(=O)CC3)O"
"181164"|"Ascladiol"|"C7H8O4"|"156.042259"|"C00023992"|"N|"N|"InChI=1S/C7H8O4/c8-2-1-6-5(4-9)3-7(10)11-6/h1,3,8-9H,2,4H2/b6-1+"|"HLJKDERCZVTVSN-LZCJLJQNSA-N"|"C1=C(C(=CCO)OC1=O)CO"
"181165"|"Asnipyrone A"|"C21H22O3"|"322.156895"|"N|"N|"Cytotoxic"|"InChI=1S/C21H22O3/c1-15(12-16(2)13-18-8-6-5-7-9-18)10-11-19-14-20(23-4)17(3)21(22)24-19/h5-14H,1-4H3/b11-10+,15-12+,16-13+"|"YDNWVTUIFJBROE-CYXONCDGSA-N"|"CC1=C(C=C(OC1=O)C=CC(=CC(=CC2=CC=CC=C2)C)C)OC"
"181166"|"Asnipyrone B"|"C20H20O3"|"308.141245"|"N|"N|"Cytotoxic"|"InChI=1S/C20H20O3/c1-15(11-16(2)12-17-7-5-4-6-8-17)9-10-18-13-19(22-3)14-20(21)23-18/h4-14H,1-3H3/b10-9+,15-11+,16-12+"|"NLLRTVRDMOKHDF-RMMMMZSOSA-N"|"CC(=CC(=CC1=CC=CC=C1)C)C=CC2=CC(=CC(=O)O2)OC"
